MüşteriID,Müşteri Adı,Şehir,Müşteri Kategorisi,Kayıt Tarihi
1,Ahmet Yılmaz,İstanbul,Premium,2023-06-15
2,Elif Kaya,Ankara,Standard,2023-07-22
3,Mehmet Özkan,İzmir,Premium,2023-05-10
4,Ayşe Demir,Bursa,Standard,2023-08-30
5,Fatih Kılıç,Antalya,Standard,2023-09-14
6,Zeynep Aydın,İstanbul,Premium,2023-04-20
7,Ali Şahin,Ankara,Standard,2023-10-05
8,Selin Taner,İzmir,Premium,2023-03-12
9,Can Ak,Bursa,Standard,2023-11-18
10,Merve Kaya,Antalya,Premium,2023-02-28
11,Emre Yoğun,İstanbul,Standard,2023-12-01
12,Dila Akça,Ankara,Premium,2024-01-10
13,Kaan Ercan,İzmir,Standard,2024-01-25
14,Eda Yurt,Bursa,Premium,2024-02-08
15,Serhan Dor,Antalya,Standard,2024-02-20
